No_of_Cancellations,arrival_date_year,hotel
1232,2018,"Resort Hotel"
1313,2018,"City Hotel"
4544,2019,"Resort Hotel"
8639,2019,"City Hotel"
3166,2020,"Resort Hotel"
6658,2020,"City Hotel"
